PrimaryIDNo,TrackNo,CompanyName,DBA,Title1,Title2,textbox17,Address1,Address2,City,State,Zip,Phone,AltPhone,Fax,Website,Email,MailGroupDesc,PrimaryAddress,ComplaintAddress,CoServiceDesc
30193,EL080061,ELECTRIC TRANSMISSION TEXAS LLC,ETT,ELECTRIC TRANSMISSION TEXAS LLC,HANNAH R TURNER,ETT DIRECTOR OF REGULATORY & FINANCE,400 WEST 15TH STREET,SUITE 800,AUSTIN,TX,78701,5123916323,,,ettexas.com,HRTURNER@AEP.COM,Company / Physical,False,True,IOU
30076,EL010050,ENTERGY TEXAS INC,,ENTERGY TEXAS INC,STUART BARRETT,VICE PRESIDENT OF CUSTOMER SERVICE,350 PINE STREET,,BEAUMONT,TX,77701,8003683749,8669812602,4098275438,http://entergy-texas.com,txcustomerrelations@entergy.com,Company / Physical,False,False,IOU
30076,EL010050,ENTERGY TEXAS INC,,ENTERGY TEXAS INC,STUART BARRETT,VICE PRESIDENT OF CUSTOMER SERVICE,PO BOX 2951,,BEAUMONT,TX,77704,8003683749,,,http://entergy-texas.com/,txcustomerrelations@entergy.com,Mailing / PO Box,True,False,IOU
30076,EL010050,ENTERGY TEXAS INC,,ENTERGY TEXAS INC,ASHLEY STONE,CUSTOMER SERVICE SPECIALIST ST,PO BOX 2951,,BEAUMONT,TX,77704,4099813215,,,,Astone2@entergy.com; Sricha4@entergy.com; TCR@entergy.com,Contact,False,True,IOU
30076,EL010050,ENTERGY TEXAS INC,,ENTERGY TEXAS INC,SAPRINA RICHARDS,CUSTOMER SERVICE SPECIALIST,PO BOX 2951,,BEAUMONT,TX,77704,4099813844,8669812602,5045764351,www.entergy.com,Sricha4@entergy.com; Astone2@entergy.com; TCR@entergy.com,Contact,False,True,IOU
30196,EL130007,LONE STAR TRANSMISSION LLC,,LONE STAR TRANSMISSION LLC,DAN MADRU,EXEC. DIRECTOR DEVELOPMENT,5920 W WILLIAM CANNON,BUILDING 2,AUSTIN,TX,78749,5122363142,5122363142,,http://www.lonestar-transmission.com/,daniel.madru@lonestar-transmission.com,Company / Physical,True,False,IOU
30196,EL130007,LONE STAR TRANSMISSION LLC,,LONE STAR TRANSMISSION LLC,TRACY DAVIS,SENIOR COUNSEL,5920 W WILLIAM CANNON,BUILDING 2,AUSTIN,TX,78749,5122363141,8772788097,,www.lonestar-transmission.com,TracyC.Davis@nexteraenergy.com,Contact,False,True,IOU
30043,EL010171,ONCOR ELECTRIC DELIVERY COMPANY,TXU ELECTRIC DELIVERY COMPANY,ONCOR ELECTRIC DELIVERY COMPANY,,,1616 WOODALL RODGERS FREEWAY,,DALLAS,TX,75202-1234,8883136862,,2144866880,,contactcenter@oncor.com,Company / Physical,True,False,IOU
30043,EL010171,ONCOR ELECTRIC DELIVERY COMPANY,TXU ELECTRIC DELIVERY COMPANY,ONCOR ELECTRIC DELIVERY COMPANY,RICHARD SORELL,,1616 WOODALL RODGERS FRWY,,DALLAS,TX,75202,2144865050,,2144866880,,pbrooks2@txu.com; puctcom@txu.com,Contact,False,True,IOU
30026,EL140003,Oncor Electric Delivery Company NTU LLC,CAP ROCK COOPERATIVE INC,ONCOR ELECTRIC DELIVERY COMPANY NTU LLC,XX,X,XX,XX,XX,TX,xx,xx,xx,xx,xx,xx@xx.com,Company / Physical,True,False,IOU
30151,EL010160,SOUTHWESTERN ELECTRIC POWER COMPANY (TEXAS DIVISION),AEP-SWEPCO,SOUTHWESTERN ELECTRIC POWER COMPANY (TEXAS DIVISION),JONATHAN GRIFFIN,REGULATORY CONSULTANT STAFF,400 WEST 15TH STREET,SUITE 1500,AUSTIN,TX,78701,5124814565,8882163523,,www.swepco.com,jmgriffin@aep.com,Company / Physical,False,False,IOU
30151,EL010160,SOUTHWESTERN ELECTRIC POWER COMPANY (TEXAS DIVISION),AEP-SWEPCO,SOUTHWESTERN ELECTRIC POWER COMPANY (TEXAS DIVISION),JONATHAN GRIFFIN,REGULATORY CONSULTANT STAFF,400 WEST 15TH STREET,SUITE 1500,AUSTIN,TX,78701,5124814565,8882163523,,www.swepco.com,jmgriffin@aep.com,Mailing / PO Box,True,False,IOU
30151,EL010160,SOUTHWESTERN ELECTRIC POWER COMPANY (TEXAS DIVISION),AEP-SWEPCO,SOUTHWESTERN ELECTRIC POWER COMPANY,TWILA DUNLAP,,428 TRAVIS ST.,,SHREVEPORT,LA,71101,,,,, swepcotx@aep.com,Contact,False,True,IOU
30153,EL010151,SOUTHWESTERN PUBLIC SERVICE COMPANY,SPS,SOUTHWESTERN PUBLIC SERVICE COMPANY,ZOE LEES,REGIONAL VICE PRESIDENT. PLANNING AND POLICY,790 SOUTH BUCHANAN,,AMARILLO,TX,79101,5059488660,8008954999,8063782820,,zoe.e.lees@xcelenergy.com,Company / Physical,True,False,IOU
30153,EL010151,SOUTHWESTERN PUBLIC SERVICE COMPANY,SPS,SOUTHWESTERN PUBLIC SERVICE COMPANY,BRAD BALDRIDGE,DIRECTOR CUSTOMER AND COMMUNITY RELATIONS,790 SOUTH BUCHANAN,,AMARILLO,TX,79101,8065131385,8008954999,8063782820,,brad.baldridge@xcelenergy.com,Company / Physical,False,False,IOU
30153,EL010151,SOUTHWESTERN PUBLIC SERVICE COMPANY,SPS,SOUTHWESTERN PUBLIC SERVICE CO,SARAH MONTOYA-FOGLESONG,,919 S CONGRESS AVE,,AUSTIN,TX,78701,9153294832,8008954999,8063782820,,custcomp2@xcelenergy.com; Dee.Hooley@xcelenergy.com; Michael.K.Knapp@xcelenergy.com; scottie.d.agnew@xcelenergy.com; SPSCriticalCustomers@xcelenergy.com; Amy.S.Blackwell.Hayes@xcelenergy.com; sarah.montoya-foglesong@xcelenergy.com,Contact,False,True,IOU
30038,EL010170,TEXAS-NEW MEXICO POWER COMPANY,,TEXAS-NEW MEXICO POWER COMPANY,STACY WHITEHURST,VICE PRESIDENT OF REGULATORY AFFAIRS,577 NORTH GARDEN RIDGE BLVD,,LEWISVILLE,TX,75067,2142224142,8888667456,2142224156,www.tnmp.com,stacy.whitehurst@tnmp.com,Company / Physical,True,False,IOU
30038,EL010170,TEXAS-NEW MEXICO POWER COMPANY,,TEXAS-NEW MEXICO POWER COMPANY,BROOKS HAMILTON,REGULATORY DOCUMENTS ANALYST,577 N GARDEN RIDGE BLVD,,LEWISVILLE,TX,75067-2691,2142224154,,2142224156,,pucttnmp@pnmresources.com,Contact,False,True,IOU
,EL130008,WIND ENERGY TRANSMISSION TEXAS LLC,,WIND ENERGY TRANSMISSION TEXAS LLC,PATRICK PONCE,SENIOR VICE PRESIDENT CHIEF FINANCIAL OFFICER,1901 CAPITAL PARKWAY,SUITE 200,AUSTIN,TX,78746,7372184500,7372184530,,https://www.wettllc.com/,pponce@wettllc.com,Company / Physical,True,False,IOU

